*Node coordinates
*node i, xi, yi, zi
    236,   1.60000002,  0.200000003,           0.
    237,          1.5,  0.200000003,           0.
    238,   1.39999998,  0.200000003,           0.
    239,   1.29999995,  0.200000003,           0.
    240,   1.20000005,  0.200000003,           0.
    241,   1.10000002,  0.200000003,           0.
    242,           1.,  0.200000003,           0.
    243,  0.899999976,  0.200000003,           0.
    244,  0.800000012,  0.200000003,           0.
    245,  0.699999988,  0.200000003,           0.
    246,  0.600000024,  0.200000003,           0.
    247,          0.5,  0.200000003,           0.
    248,  0.400000006,  0.200000003,           0.
    249,  0.300000012,  0.200000003,           0.
    250,  0.200000003,  0.200000003,           0.
    251,  0.100000001,  0.200000003,           0.
    252,           0.,  0.200000003,           0.
    253,           2.,  0.300000012,         0.25
    254,   1.89999998,  0.300000012,         0.25
    255,   1.79999995,  0.300000012,         0.25
    256,   1.70000005,  0.300000012,         0.25
    257,   1.60000002,  0.300000012,         0.25
    258,          1.5,  0.300000012,         0.25
    259,   1.39999998,  0.300000012,         0.25
    260,   1.29999995,  0.300000012,         0.25
    261,   1.20000005,  0.300000012,         0.25
    262,   1.10000002,  0.300000012,         0.25
    263,           1.,  0.300000012,         0.25
    264,  0.899999976,  0.300000012,         0.25
    265,  0.800000012,  0.300000012,         0.25
    266,  0.699999988,  0.300000012,         0.25
    267,  0.600000024,  0.300000012,         0.25
    268,          0.5,  0.300000012,         0.25
    269,  0.400000006,  0.300000012,         0.25
    270,  0.300000012,  0.300000012,         0.25
    271,  0.200000003,  0.300000012,         0.25
    272,  0.100000001,  0.300000012,         0.25
    273,           0.,  0.300000012,         0.25
    274,           2.,  0.300000012,  0.166666672
    275,   1.89999998,  0.300000012,  0.166666672
    276,   1.79999995,  0.300000012,  0.166666672
    277,   1.70000005,  0.300000012,  0.166666672
    278,   1.60000002,  0.300000012,  0.166666672
    279,          1.5,  0.300000012,  0.166666672
    280,   1.39999998,  0.300000012,  0.166666672
    281,   1.29999995,  0.300000012,  0.166666672
    282,   1.20000005,  0.300000012,  0.166666672
    283,   1.10000002,  0.300000012,  0.166666672
    284,           1.,  0.300000012,  0.166666672
    285,  0.899999976,  0.300000012,  0.166666672
    286,  0.800000012,  0.300000012,  0.166666672
    287,  0.699999988,  0.300000012,  0.166666672
    288,  0.600000024,  0.300000012,  0.166666672
    289,          0.5,  0.300000012,  0.166666672
    290,  0.400000006,  0.300000012,  0.166666672
    291,  0.300000012,  0.300000012,  0.166666672
    292,  0.200000003,  0.300000012,  0.166666672
    293,  0.100000001,  0.300000012,  0.166666672
    294,           0.,  0.300000012,  0.166666672
    295,           2.,  0.300000012, 0.0833333358
    296,   1.89999998,  0.300000012, 0.0833333358
    297,   1.79999995,  0.300000012, 0.0833333358
    298,   1.70000005,  0.300000012, 0.0833333358
    299,   1.60000002,  0.300000012, 0.0833333358
    300,          1.5,  0.300000012, 0.0833333358
    301,   1.39999998,  0.300000012, 0.0833333358
    302,   1.29999995,  0.300000012, 0.0833333358
    303,   1.20000005,  0.300000012, 0.0833333358
    304,   1.10000002,  0.300000012, 0.0833333358
    305,           1.,  0.300000012, 0.0833333358
    306,  0.899999976,  0.300000012, 0.0833333358
    307,  0.800000012,  0.300000012, 0.0833333358
    308,  0.699999988,  0.300000012, 0.0833333358
    309,  0.600000024,  0.300000012, 0.0833333358
    310,          0.5,  0.300000012, 0.0833333358
    311,  0.400000006,  0.300000012, 0.0833333358
    312,  0.300000012,  0.300000012, 0.0833333358
    313,  0.200000003,  0.300000012, 0.0833333358
    314,  0.100000001,  0.300000012, 0.0833333358
    315,           0.,  0.300000012, 0.0833333358
    316,           2.,  0.300000012,           0.
    317,   1.89999998,  0.300000012,           0.
    318,   1.79999995,  0.300000012,           0.
    319,   1.70000005,  0.300000012,           0.
    320,   1.60000002,  0.300000012,           0.
    321,          1.5,  0.300000012,           0.
    322,   1.39999998,  0.300000012,           0.
    323,   1.29999995,  0.300000012,           0.
    324,   1.20000005,  0.300000012,           0.
    325,   1.10000002,  0.300000012,           0.
    326,           1.,  0.300000012,           0.
    327,  0.899999976,  0.300000012,           0.
    328,  0.800000012,  0.300000012,           0.
    329,  0.699999988,  0.300000012,           0.
    330,  0.600000024,  0.300000012,           0.
    331,          0.5,  0.300000012,           0.
    332,  0.400000006,  0.300000012,           0.
    333,  0.300000012,  0.300000012,           0.
    334,  0.200000003,  0.300000012,           0.
    335,  0.100000001,  0.300000012,           0.
    336,           0.,  0.300000012,           0.
    337,           2.,  0.400000006,         0.25
    338,   1.89999998,  0.400000006,         0.25
    339,   1.79999995,  0.400000006,         0.25
    340,   1.70000005,  0.400000006,         0.25
    341,   1.60000002,  0.400000006,         0.25
    342,          1.5,  0.400000006,         0.25
    343,   1.39999998,  0.400000006,         0.25
    344,   1.29999995,  0.400000006,         0.25
    345,   1.20000005,  0.400000006,         0.25
    346,   1.10000002,  0.400000006,         0.25
    347,           1.,  0.400000006,         0.25
    348,  0.899999976,  0.400000006,         0.25
    349,  0.800000012,  0.400000006,         0.25
    350,  0.699999988,  0.400000006,         0.25
    351,  0.600000024,  0.400000006,         0.25
    352,          0.5,  0.400000006,         0.25
    353,  0.400000006,  0.400000006,         0.25
    354,  0.300000012,  0.400000006,         0.25
    355,  0.200000003,  0.400000006,         0.25
    356,  0.100000001,  0.400000006,         0.25
    357,           0.,  0.400000006,         0.25
    358,           2.,  0.400000006,  0.166666672
    359,   1.89999998,  0.400000006,  0.166666672
    360,   1.79999995,  0.400000006,  0.166666672
    361,   1.70000005,  0.400000006,  0.166666672
    362,   1.60000002,  0.400000006,  0.166666672
    363,          1.5,  0.400000006,  0.166666672
    364,   1.39999998,  0.400000006,  0.166666672
    365,   1.29999995,  0.400000006,  0.166666672
    366,   1.20000005,  0.400000006,  0.166666672
    367,   1.10000002,  0.400000006,  0.166666672
    368,           1.,  0.400000006,  0.166666672
    369,  0.899999976,  0.400000006,  0.166666672
    370,  0.800000012,  0.400000006,  0.166666672
    371,  0.699999988,  0.400000006,  0.166666672
    372,  0.600000024,  0.400000006,  0.166666672
    373,          0.5,  0.400000006,  0.166666672
    374,  0.400000006,  0.400000006,  0.166666672
    375,  0.300000012,  0.400000006,  0.166666672
    376,  0.200000003,  0.400000006,  0.166666672
    377,  0.100000001,  0.400000006,  0.166666672
    378,           0.,  0.400000006,  0.166666672
    379,           2.,  0.400000006, 0.0833333358
    380,   1.89999998,  0.400000006, 0.0833333358
    381,   1.79999995,  0.400000006, 0.0833333358
    382,   1.70000005,  0.400000006, 0.0833333358
    383,   1.60000002,  0.400000006, 0.0833333358
    384,          1.5,  0.400000006, 0.0833333358
    385,   1.39999998,  0.400000006, 0.0833333358
    386,   1.29999995,  0.400000006, 0.0833333358
    387,   1.20000005,  0.400000006, 0.0833333358
    388,   1.10000002,  0.400000006, 0.0833333358
    389,           1.,  0.400000006, 0.0833333358
    390,  0.899999976,  0.400000006, 0.0833333358
    391,  0.800000012,  0.400000006, 0.0833333358
    392,  0.699999988,  0.400000006, 0.0833333358
    393,  0.600000024,  0.400000006, 0.0833333358
    394,          0.5,  0.400000006, 0.0833333358
    395,  0.400000006,  0.400000006, 0.0833333358
    396,  0.300000012,  0.400000006, 0.0833333358
    397,  0.200000003,  0.400000006, 0.0833333358
    398,  0.100000001,  0.400000006, 0.0833333358
    399,           0.,  0.400000006, 0.0833333358
    400,           2.,  0.400000006,           0.
    401,   1.89999998,  0.400000006,           0.
    402,   1.79999995,  0.400000006,           0.
    403,   1.70000005,  0.400000006,           0.
    404,   1.60000002,  0.400000006,           0.
    405,          1.5,  0.400000006,           0.
    406,   1.39999998,  0.400000006,           0.
    407,   1.29999995,  0.400000006,           0.
    408,   1.20000005,  0.400000006,           0.
    409,   1.10000002,  0.400000006,           0.
    410,           1.,  0.400000006,           0.
    411,  0.899999976,  0.400000006,           0.
    412,  0.800000012,  0.400000006,           0.
    413,  0.699999988,  0.400000006,           0.
    414,  0.600000024,  0.400000006,           0.
    415,          0.5,  0.400000006,           0.
    416,  0.400000006,  0.400000006,           0.
    417,  0.300000012,  0.400000006,           0.
    418,  0.200000003,  0.400000006,           0.
    419,  0.100000001,  0.400000006,           0.
    420,           0.,  0.400000006,           0.
    421,           2.,          0.5,         0.25
    422,   1.89999998,          0.5,         0.25
    423,   1.79999995,          0.5,         0.25
    424,   1.70000005,          0.5,         0.25
    425,   1.60000002,          0.5,         0.25
    426,          1.5,          0.5,         0.25
    427,   1.39999998,          0.5,         0.25
    428,   1.29999995,          0.5,         0.25
    429,   1.20000005,          0.5,         0.25
    430,   1.10000002,          0.5,         0.25
    431,           1.,          0.5,         0.25
    432,  0.899999976,          0.5,         0.25
    433,  0.800000012,          0.5,         0.25
    434,  0.699999988,          0.5,         0.25
    435,  0.600000024,          0.5,         0.25
    436,          0.5,          0.5,         0.25
    437,  0.400000006,          0.5,         0.25
    438,  0.300000012,          0.5,         0.25
    439,  0.200000003,          0.5,         0.25
    440,  0.100000001,          0.5,         0.25
    441,           0.,          0.5,         0.25
    442,           2.,          0.5,  0.166666672
    443,   1.89999998,          0.5,  0.166666672
    444,   1.79999995,          0.5,  0.166666672
    445,   1.70000005,          0.5,  0.166666672
    446,   1.60000002,          0.5,  0.166666672
    447,          1.5,          0.5,  0.166666672
    448,   1.39999998,          0.5,  0.166666672
    449,   1.29999995,          0.5,  0.166666672
    450,   1.20000005,          0.5,  0.166666672
    451,   1.10000002,          0.5,  0.166666672
    452,           1.,          0.5,  0.166666672
    453,  0.899999976,          0.5,  0.166666672
    454,  0.800000012,          0.5,  0.166666672
    455,  0.699999988,          0.5,  0.166666672
    456,  0.600000024,          0.5,  0.166666672
    457,          0.5,          0.5,  0.166666672
    458,  0.400000006,          0.5,  0.166666672
    459,  0.300000012,          0.5,  0.166666672
    460,  0.200000003,          0.5,  0.166666672
    461,  0.100000001,          0.5,  0.166666672
    462,           0.,          0.5,  0.166666672
    463,           2.,          0.5, 0.0833333358
    464,   1.89999998,          0.5, 0.0833333358
    465,   1.79999995,          0.5, 0.0833333358
    466,   1.70000005,          0.5, 0.0833333358
    467,   1.60000002,          0.5, 0.0833333358
    468,          1.5,          0.5, 0.0833333358
    469,   1.39999998,          0.5, 0.0833333358
    470,   1.29999995,          0.5, 0.0833333358
    471,   1.20000005,          0.5, 0.0833333358
    472,   1.10000002,          0.5, 0.0833333358
    473,           1.,          0.5, 0.0833333358
    474,  0.899999976,          0.5, 0.0833333358
    475,  0.800000012,          0.5, 0.0833333358
    476,  0.699999988,          0.5, 0.0833333358
    477,  0.600000024,          0.5, 0.0833333358
    478,          0.5,          0.5, 0.0833333358
    479,  0.400000006,          0.5, 0.0833333358
    480,  0.300000012,          0.5, 0.0833333358
    481,  0.200000003,          0.5, 0.0833333358
    482,  0.100000001,          0.5, 0.0833333358
    483,           0.,          0.5, 0.0833333358
    484,           2.,          0.5,           0.
    485,   1.89999998,          0.5,           0.
    486,   1.79999995,          0.5,           0.
    487,   1.70000005,          0.5,           0.
    488,   1.60000002,          0.5,           0.
    489,          1.5,          0.5,           0.
    490,   1.39999998,          0.5,           0.
    491,   1.29999995,          0.5,           0.
    492,   1.20000005,          0.5,           0.
    493,   1.10000002,          0.5,           0.
    494,           1.,          0.5,           0.
    495,  0.899999976,          0.5,           0.
    496,  0.800000012,          0.5,           0.
    497,  0.699999988,          0.5,           0.
    498,  0.600000024,          0.5,           0.
    499,          0.5,          0.5,           0.
    500,  0.400000006,          0.5,           0.
    501,  0.300000012,          0.5,           0.
    502,  0.200000003,          0.5,           0.
    503,  0.100000001,          0.5,           0.
    504,           0.,          0.5,           0.
    505,           2.,  0.600000024,         0.25
    506,   1.89999998,  0.600000024,         0.25
    507,   1.79999995,  0.600000024,         0.25
    508,   1.70000005,  0.600000024,         0.25
    509,   1.60000002,  0.600000024,         0.25
    510,          1.5,  0.600000024,         0.25
    511,   1.39999998,  0.600000024,         0.25
    512,   1.29999995,  0.600000024,         0.25
    513,   1.20000005,  0.600000024,         0.25
    514,   1.10000002,  0.600000024,         0.25
    515,           1.,  0.600000024,         0.25
    516,  0.899999976,  0.600000024,         0.25
    517,  0.800000012,  0.600000024,         0.25
    518,  0.699999988,  0.600000024,         0.25
    519,  0.600000024,  0.600000024,         0.25
    520,          0.5,  0.600000024,         0.25
    521,  0.400000006,  0.600000024,         0.25
    522,  0.300000012,  0.600000024,         0.25
    523,  0.200000003,  0.600000024,         0.25
    524,  0.100000001,  0.600000024,         0.25
    525,           0.,  0.600000024,         0.25
    526,           2.,  0.600000024,  0.166666672
    527,   1.89999998,  0.600000024,  0.166666672
    528,   1.79999995,  0.600000024,  0.166666672
    529,   1.70000005,  0.600000024,  0.166666672
    530,   1.60000002,  0.600000024,  0.166666672
    531,          1.5,  0.600000024,  0.166666672
    532,   1.39999998,  0.600000024,  0.166666672
    533,   1.29999995,  0.600000024,  0.166666672
    534,   1.20000005,  0.600000024,  0.166666672
    535,   1.10000002,  0.600000024,  0.166666672
    536,           1.,  0.600000024,  0.166666672
    537,  0.899999976,  0.600000024,  0.166666672
    538,  0.800000012,  0.600000024,  0.166666672
    539,  0.699999988,  0.600000024,  0.166666672
    540,  0.600000024,  0.600000024,  0.166666672
    541,          0.5,  0.600000024,  0.166666672
    542,  0.400000006,  0.600000024,  0.166666672
    543,  0.300000012,  0.600000024,  0.166666672
    544,  0.200000003,  0.600000024,  0.166666672
    545,  0.100000001,  0.600000024,  0.166666672
    546,           0.,  0.600000024,  0.166666672
    547,           2.,  0.600000024, 0.0833333358
    548,   1.89999998,  0.600000024, 0.0833333358
    549,   1.79999995,  0.600000024, 0.0833333358
    550,   1.70000005,  0.600000024, 0.0833333358
    551,   1.60000002,  0.600000024, 0.0833333358
    552,          1.5,  0.600000024, 0.0833333358
    553,   1.39999998,  0.600000024, 0.0833333358
    554,   1.29999995,  0.600000024, 0.0833333358
    555,   1.20000005,  0.600000024, 0.0833333358
    556,   1.10000002,  0.600000024, 0.0833333358
    557,           1.,  0.600000024, 0.0833333358
    558,  0.899999976,  0.600000024, 0.0833333358
    559,  0.800000012,  0.600000024, 0.0833333358
    560,  0.699999988,  0.600000024, 0.0833333358
    561,  0.600000024,  0.600000024, 0.0833333358
    562,          0.5,  0.600000024, 0.0833333358
    563,  0.400000006,  0.600000024, 0.0833333358
    564,  0.300000012,  0.600000024, 0.0833333358
    565,  0.200000003,  0.600000024, 0.0833333358
    566,  0.100000001,  0.600000024, 0.0833333358
    567,           0.,  0.600000024, 0.0833333358
    568,           2.,  0.600000024,           0.
    569,   1.89999998,  0.600000024,           0.
    570,   1.79999995,  0.600000024,           0.
    571,   1.70000005,  0.600000024,           0.
    572,   1.60000002,  0.600000024,           0.
    573,          1.5,  0.600000024,           0.
